Emotion,Title,link,redirectLink
Angry,"""The Four Agreements: A Practical Guide to Personal Freedom"" by Don Miguel Ruiz",https://m.media-amazon.com/images/I/91rR9gMuOVL._SY342_.jpg,https://www.google.co.in/books/edition/The_Four_Agreements/hzVxiw2DiOsC?hl=en&gbpv=1&dq=%22The+Four+Agreements:+A+Practical+Guide+to+Personal+Freedom%22+by+Don+Miguel+Ruiz&printsec=frontcover
Angry,"""The Power of Now: A Guide to Spiritual Enlightenment"" by Eckhart Tolle",https://m.media-amazon.com/images/I/61Ij8nLooNL._SY342_.jpg,https://www.google.co.in/books/edition/The_Power_of_Now/sQYqRCIhFAMC?hl=en&gbpv=1&dq=%22The+Power+of+Now:+A+Guide+to+Spiritual+Enlightenment%22+by+Eckhart+Tolle&printsec=frontcover
Angry,"""Mindfulness in Plain English"" by Bhante Henepola Gunaratana",https://m.media-amazon.com/images/I/41KAxLaE22L._SY445_SX342_.jpg,https://archive.org/details/mindfulness-in-plain-english-bhante-gunaratana/page/n5/mode/2up
Angry,"""Anger: Wisdom for Cooling the Flames"" by Thich Nhat Hanh",https://m.media-amazon.com/images/I/71HOkF6DVFL._SY342_.jpg,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://terebess.hu/zen/mesterek/Thich%20Nhat%20Hanh%20-%20Anger%20-%20Wisdom%20for%20Cooling%20the%20Flames.pdf
Angry,"""The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life"" by Mark Manson",https://m.media-amazon.com/images/I/71t4GuxLCuL._SY342_.jpg,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://nibmehub.com/opac-service/pdf/read/The%20Subtle%20Art%20of%20Not%20Giving%20a%20Fck%20A%20Counterintuitive%20Approach%20to%20Living%20a%20Good%20Life%20by%20Mark%20Manson%20(z-lib.org).pdf
Disgust,"""The Happiness Trap: How to Stop Struggling and Start Living"" by Russ Harris",https://m.media-amazon.com/images/I/71u3rgEWdGL._SY342_.jpg,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://cabct.hr/wp-content/uploads/2016/10/The-Happiness-Trap-Harris-R1.pdf
Disgust,"""The Untethered Soul: The Journey Beyond Yourself"" by Michael A. Singer",https://m.media-amazon.com/images/I/71-Bk-JyHxL._SY342_.jpg,https://archive.org/details/untetheredsouljo00sing
Disgust,"""Letting Go: The Pathway of Surrender"" by David R. Hawkins",https://m.media-amazon.com/images/I/312DogZjpbL._SY445_SX342_.jpg,https://archive.org/details/lettinggopathway0000hawk/page/n9/mode/2up
Disgust,"""Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead"" by Bren� Brown",https://m.media-amazon.com/images/I/81vjRI4HwvL._SY342_.jpg,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://site.ieee.org/sb-nhce/files/2021/06/Brene-brown-book1.pdf
Disgust,"""The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma"" by Bessel van der Kolk",https://m.media-amazon.com/images/I/71Ha3OShqSL._SY342_.jpg,https://archive.org/details/the-body-keeps-the-score-pdf/mode/2up
Fear,"""Feel the Fear and Do It Anyway"" by Susan Jeffers",https://m.media-amazon.com/images/I/51klXnIbVQL._SY445_SX342_.jpg,https://archive.org/details/FeelTheFearAndDoItAnyway_20150206
Fear,"""The Anxiety and Phobia Workbook"" by Edmund J. Bourne",https://m.media-amazon.com/images/I/819X4zrawXL._SY342_.jpg,https://archive.org/details/anxietyphobiawor00edmu_0
Fear,"""You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life"" by Jen Sincero",https://m.media-amazon.com/images/I/51pgeMPN9qL._SY445_SX342_.jpg,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://booksnsstuff.wordpress.com/wp-content/uploads/2019/03/you-are-a-badass_-how-to-stop-doubting-your-greatness-and-start-living-an-awesome-life-pdfdrive.com-.pdf
Fear,"""Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone"" by Bren� Brown",https://m.media-amazon.com/images/I/41uMojS-t6L._SY445_SX342_.jpg,https://archive.org/details/bravingwildernes0000brow_z0f2
Fear,"""The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are"" by Bren� Brown",https://m.media-amazon.com/images/I/71I4yv9v+LL._SY342_.jpg,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://ati.dae.gov.in/ati12052021_4.pdf
Happy,"""The Happiness Project: Or, Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun"" by Gretchen Rubin",https://m.media-amazon.com/images/I/61o3KimH2tL._SY342_.jpg,https://archive.org/details/happinessproject00gret
Happy,"""The Book of Joy: Lasting Happiness in a Changing World"" by Dalai Lama, Desmond Tutu, and Douglas Carlton Abrams",https://m.media-amazon.com/images/I/61QR32HPL9L._SY342_.jpg,"chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://ia800903.us.archive.org/26/items/KnowThyselfAGuideToABetterLife/[Dalai_Lama,_Desmond_Tutu,_Douglas_Carlton_Abrams]_The_Book_of_Joy.pdf"
Happy,"""Ikigai: The Japanese Secret to a Long and Happy Life"" by H�ctor Garc�a and Francesc Miralles",https://m.media-amazon.com/images/I/81l3rZK4lnL._SY342_.jpg,https://archive.org/details/ikigai-the-japanese-secret-to-a-long-and-happy-life-pdfdrive.com
Happy,"""The Art of Happiness: A Handbook for Living"" by Dalai Lama and Howard C. Cutler",https://m.media-amazon.com/images/I/41OeeytRUEL._SY445_SX342_.jpg,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/http://www.e4thai.com/e4e/images/pdf/The%20Art%20of%20Happiness.pdf
Happy,"""Stumbling on Happiness"" by Daniel Gilbert",https://m.media-amazon.com/images/I/51F1B1U11RL._SY342_.jpg,https://archive.org/details/stumblingonhappi00gilb
Neutral,"""The Hitchhiker's Guide to the Galaxy"" by Douglas Adams",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,https://archive.org/details/peranhalterdurch0000adam_s3m1
Neutral,"""Siddhartha"" by Hermann Hesse",https://m.media-amazon.com/images/I/81eMAa8HqwL._SY342_.jpg,https://archive.org/details/hermann-hesse_siddhartha_gunther-olesch_anke-dreher_amy-coulter_stefan-langer_semyon-chaichenets
Neutral,"""The Alchemist"" by Paulo Coelho",https://m.media-amazon.com/images/I/416JeZoF8tL._SY445_SX342_.jpg,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://ia801006.us.archive.org/13/items/OceanofPDF.comTheAlchemist/_OceanofPDF.com_The_Alchemist.pdf
Neutral,"""Zen and the Art of Motorcycle Maintenance: An Inquiry into Values"" by Robert M. Pirsig",https://m.media-amazon.com/images/I/81JkzYzJRbL._SY342_.jpg,https://archive.org/details/zenandtheartofmotorcyclemaintenancerobertpirsigm._833_V/page/345/mode/2up
Neutral,"""Meditations"" by Marcus Aurelius",https://m.media-amazon.com/images/I/81ZeeOjADFL._SY342_.jpg,https://archive.org/details/meditationsofmar00marc/mode/2up
Sad,"""When Things Fall Apart: Heart Advice for Difficult Times"" by Pema Ch�dr�n",https://m.media-amazon.com/images/I/71UCrlEdrqL._SY342_.jpg,https://archive.org/details/whenthingsfallap0000chdr
Sad,"""Man's Search for Meaning"" by Viktor E. Frankl",https://m.media-amazon.com/images/I/61157LApbuL._SY342_.jpg,https://archive.org/details/manssearchformea0000vikt_x0q6
Sad,"""The Year of Magical Thinking"" by Joan Didion",https://m.media-amazon.com/images/I/71maRKoYe3L._SY342_.jpg,https://archive.org/details/yearofmagicalthi0000didi_q1v0
Sad,"""Tiny Beautiful Things: Advice from Dear Sugar"" by Cheryl Strayed",https://m.media-amazon.com/images/I/81mqUYJi7nL._SY342_.jpg,https://archive.org/details/isbn_9780307949332
Sad,"""Wild: From Lost to Found on the Pacific Crest Trail"" by Cheryl Strayed",https://m.media-amazon.com/images/I/61r5QQq+VNL._SY342_.jpg,https://archive.org/details/wildfromlosttofo0000stra_t2l0/page/6/mode/2up
Surprise,"""The Rosie Project"" by Graeme Simsion",https://m.media-amazon.com/images/I/4184WONMh1L._SY445_SX342_.jpg,https://archive.org/details/rosieproject0000sims_v0c0
Surprise,"""The Girl on the Train"" by Paula Hawkins",https://m.media-amazon.com/images/I/71vWnStCnEL._SY342_.jpg,https://archive.org/details/girlontrainnovel0000hone
Surprise,"""Sharp Objects"" by Gillian Flynn",https://m.media-amazon.com/images/I/51WW5MF-WBL._SY342_.jpg,https://elibrarynj.overdrive.com/listennj-springlake/content/media/92818
Surprise,"""Big Little Lies"" by Liane Moriarty",https://m.media-amazon.com/images/I/81N+sjNpGML._SY342_.jpg,https://archive.org/details/biglittlelies0000mori_v6v3
Surprise,"""Behind Closed Doors"" by B.A. Paris",https://m.media-amazon.com/images/I/61h8FyM5-AL._SY342_.jpg,https://nlb.overdrive.com/media/2395930
